Medalha,Atleta,Esporte,Prova,Dia
Bronze,Larissa Pimenta,Judô,Até 52 kg feminino,28 de julho
Bronze,Rayssa Leal,Skate,Street feminino,28 de julho
Bronze,Rebeca Andrade,Ginástica,Equipes femininas,
Bronze,Jade Barbosa,Ginástica,Equipes femininas,
Bronze,Lorrane Oliveira,Ginástica,Equipes femininas,
Bronze,Flávia Saraiva,Ginástica,Equipes femininas,
Bronze,Júlia Soares,Ginástica,Equipes femininas,
Bronze,Daniel Cargnin,Judô,Equipes mistas,3 de agosto
Bronze,Leonardo Gonçalves,Judô,Equipes mistas,3 de agosto
Bronze,Willian Lima,Judô,Equipes mistas,3 de agosto
Bronze,Rafael Macedo,Judô,Equipes mistas,3 de agosto
Bronze,Guilherme Schimidt,Judô,Equipes mistas,3 de agosto
Bronze,Rafael Silva,Judô,Equipes mistas,3 de agosto
Bronze,Larissa Pimenta,Judô,Equipes mistas,3 de agosto
Bronze,Ketleyn Quadros,Judô,Equipes mistas,3 de agosto
Bronze,Rafaela Silva,Judô,Equipes mistas,3 de agosto
Bronze,Beatriz Souza,Judô,Equipes mistas,3 de agosto
Bronze,Beatriz Ferreira,Boxe,Peso leve feminino,3 de agosto
Bronze,Gabriel Medina,Surfe,Masculino,5 de agosto
Bronze,Augusto Akio,Skate,Park masculino,7 de agosto
Bronze,Edival Pontes,Taekwondo,−68 kg masculino,8 de agosto
Bronze,Alison dos Santos,Atletismo,400m com barreiras,9 de agosto
Bronze,Ana Carolina,Voleibol,Feminino,10 de agos
Bronze,Ana Cristina,Voleibol,Feminino,10 de agos
Bronze,Diana,Voleibol,Feminino,10 de agos
Bronze,Gabi,Voleibol,Feminino,10 de agos
Bronze,Júlia,Voleibol,Feminino,10 de agos
Bronze,Lorenne,Voleibol,Feminino,10 de agos
Bronze,Natália,Voleibol,Feminino,10 de agos
Bronze,Nyeme,Voleibol,Feminino,10 de agos
Bronze,Macris,Voleibol,Feminino,10 de agos
Bronze,Tainara,Voleibol,Feminino,10 de agos
Bronze,Thaísa,Voleibol,Feminino,10 de agos
Bronze,Roberta,Voleibol,Feminino,10 de agos
Bronze,Rosamaria,Voleibol,Feminino,10 de agos
Ouro,Beatriz Souza,Judô,Mais de 78 kg feminino,2 de agosto
Ouro,Rebeca Andrade,Ginástica,Solo feminino,5 de agosto
Ouro,Ana Patrícia Ramos,Voleibol de praia,Feminino,9 de agosto
Ouro,"
Eduarda Santos Lisboa",Voleibol de praia,Feminino,9 de agosto
Prata,Willian Lima,Judô,Até 66 kg masculino,28 de julho
Prata,Caio Bonfim,Atletismo,20 km marcha atlética masculina,1 de agosto
Prata,Rebeca Andrade,Ginástica,Individual geral feminino,1 de agosto
Prata,Rebeca Andrade,Ginástica,Salto feminino,3 de agosto
Prata,Tatiana Weston-Webb,Surfe,Feminino,5 de agosto
Prata,Isaquias Queiroz,Canoagem,C-1 1000 metros masculino,9 de agosto
Prata,Adriana,Futebol,Feminino,10 de agosto
Prata,Angelina,Futebol,Feminino,10 de agosto
Prata,Ana Vitória,Futebol,Feminino,10 de agosto
Prata,Antônia,Futebol,Feminino,10 de agosto
Prata,Duda Sampaio,Futebol,Feminino,10 de agosto
Prata,Gabi Nunes,Futebol,Feminino,10 de agosto
Prata,Gabi Portilho,Futebol,Feminino,10 de agosto
Prata,Jheniffer,Futebol,Feminino,10 de agosto
Prata,Kerolin,Futebol,Feminino,10 de agosto
Prata,Lauren,Futebol,Feminino,10 de agosto
Prata,Lorena,Futebol,Feminino,10 de agosto
Prata,Luciana,Futebol,Feminino,10 de agosto
Prata,Ludmila,Futebol,Feminino,10 de agosto
Prata,Marta,Futebol,Feminino,10 de agosto
Prata,Priscila,Futebol,Feminino,10 de agosto
Prata,Rafaelle Souza,Futebol,Feminino,10 de agosto
Prata,Tainá,Futebol,Feminino,10 de agosto
Prata,Tamires,Futebol,Feminino,10 de agosto
Prata,Tarciane,Futebol,Feminino,10 de agosto
Prata,Thaís,Futebol,Feminino,10 de agosto
Prata,Yasmim,Futebol,Feminino,10 de agosto
Prata,Vitória Yaya,Futebol,Feminino,10 de agosto